Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.utils,Resettable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Boxes,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; HYPIXEL_API_COOLDOWN; players; profiles
forkassn3,de.hysky.skyblocker.utils,JoinWorldPlaceholderScreen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Utils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; ALTERNATE_HYPIXEL_ADDRESS; PROFILE_PREFIX; PROFILE_MESSAGE_PREFIX; PROFILE_ID_PREFIX; isOnHypixel; isOnSkyblock; isInjected; location; profile; profileId; server; gameType; locationRaw; map; clientWorldJoinTime; sentLocRaw; canSendLocRaw; locationChanged; mayorTickScheduled; mayorTickRetryAttempts; mayor; TEXT_SCOREBOARD; STRING_SCOREBOARD
forkassn3,de.hysky.skyblocker.utils,Utils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
forkassn3,de.hysky.skyblocker.utils,ItemUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ID; UUID; NOT_DURABILITY; FUEL_PREDICATE; EMPTY_ALLOWING_ITEM_CODEC; EMPTY_ALLOWING_ITEMSTACK_CODEC
forkassn3,de.hysky.skyblocker.utils,Tickable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Location,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; REMOTE_REPO_URL; LOCAL_REPO_DIR; REPO_LOADING; NEU_REPO
forkassn3,de.hysky.skyblocker.utils,Calculator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; value; tokenLength; NUMBER_PATTERN; MAGNITUDE_VALUES
forkassn3,de.hysky.skyblocker.utils,Calculator.TokenType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
forkassn3,de.hysky.skyblocker.utils,Calculator.TokenType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Calculator.Token,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; value; tokenLength
forkassn3,de.hysky.skyblocker.utils,Calculator.Token,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Calculator.Token,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; value; tokenLength
forkassn3,de.hysky.skyblocker.utils,PosUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALT_BLOCK_POS_CODEC
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SKYBLOCK_EPOCH; skyblockYear; skyblockSeason; skyblockMonth; skyblockDay; LOGGER
forkassn3,de.hysky.skyblocker.utils,SkyblockTime.Season,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
forkassn3,de.hysky.skyblocker.utils,SkyblockTime.Season,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,SkyblockTime.Month,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
forkassn3,de.hysky.skyblocker.utils,SkyblockTime.Month,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: LEVEL_EMBLEMS; PREFIX; SEYMOUR_IDS; CRYSTAL_HEXES; FAIRY_HEXES; OG_FAIRY_HEXES; GLITCHED; SPOOK; RANCHERS; REAPER; ADAPTIVE_CHEST; ADAPTIVE
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NUMBER; pattern
forkassn3,de.hysky.skyblocker.utils.chat,ChatMessageListener,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SnapshotDebug; RenderHelper; SkyblockerMod; ContainerSolverManager; ContainerSolver; UltrasequencerSolver; HelperConfig; Waypoint; NewYearCakesHelper; SkyblockerConfigManager; SkyblockerConfig; Utils; Http; ApiAuthentication; MuseumItemCache; ItemUtils; TooltipInfoType; ItemTooltip; GeneralConfig; CraftPriceTooltip; NEURepoManager; ItemRepository; ItemStackBuilder; SkyblockCraftingRecipe; ObtainedDateTooltip; StatusBarTracker; ConfigDataFixer; SkyblockerScreen; Tips; ProfileViewerScreen; ProfileViewerPage; SubPageSelectButton; ProfileViewerTextWidget; ProfileViewerUtils; ProfileViewerNavButton; ProfileUtils; ApiUtils; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; CustomArmorDyeColors; BackpackPreview; ItemRarityBackgrounds; ItemProtection; FarmingHud; FarmingHudWidget; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRule; ChatRuleAnnouncementScreen; CalculatorCommand; Calculator; DiscordRPCManager; LividColor; DungeonsConfig; DungeonManager; Room; SecretWaypoint; DungeonEvents; DungeonMapUtils; Debug; DebugRoom; DungeonMap; DungeonScore; PlayerListMgr; FishingHelper; DungeonScoreHUD; Waterboard; PartyFinderScreen; PartyEntryListWidget; PartyEntry; FinderSettingsContainer; OptionDropdownWidget; RangedValueWidget; ChestValue; UIAndVisualsConfig; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; EndHudWidget; SearchOverManager; TitleContainer; ScreenMaster; ScreenBuilder; Widget; PlayerLocator; DungeonTextures; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; DungeonPlayerWidget; Kuudra; DojoManager; ForceTestHelper; StaminaTestHelper; MasteryTestHelper; SwiftnessTestHelper; ControlTestHelper; TenacityTestHelper; FancyStatusBars; BarPositioner; StatusBar; OnClick; StatusBarRenderer; StatusBarConfig; StatusBarsConfigScreen; EditBarWidget; EventNotifications; BeaconHighlighter; WarpAutocomplete; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager; SlotTextAdder
forkassn3,de.hysky.skyblocker.utils.chat,ChatFilterResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
forkassn3,de.hysky.skyblocker.utils.scheduler,SchedulerTest,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testSchedule
forkassn3,de.hysky.skyblocker.utils.scheduler,MessageScheduler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_DELAY; INSTANCE; lastMessage
forkassn3,de.hysky.skyblocker.utils.scheduler,MessageScheduler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Scheduler
forkassn3,de.hysky.skyblocker.utils.scheduler,Scheduler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; INSTANCE; currentTick; tasks; executors
forkassn3,de.hysky.skyblocker.utils.waypoint,NamedWaypoint,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CODEC; SKYTILS_CODEC; name; centerPos
forkassn3,de.hysky.skyblocker.utils.waypoint,ProfileAwareWaypoint,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: foundProfiles; missingColor; foundColor
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_HIGHLIGHT_ALPHA; DEFAULT_LINE_WIDTH; pos; box; typeSupplier; colorComponents; alpha; lineWidth; throughWalls; shouldRender
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SnapshotDebug; RenderHelper; SkyblockerMod; ContainerSolverManager; ContainerSolver; UltrasequencerSolver; HelperConfig; Waypoint; NewYearCakesHelper; SkyblockerConfigManager; SkyblockerConfig; Utils; Http; ApiAuthentication; MuseumItemCache; ItemUtils; TooltipInfoType; ItemTooltip; GeneralConfig; CraftPriceTooltip; NEURepoManager; ItemRepository; ItemStackBuilder; SkyblockCraftingRecipe; ObtainedDateTooltip; StatusBarTracker; ConfigDataFixer; SkyblockerScreen; Tips; ProfileViewerScreen; ProfileViewerPage; SubPageSelectButton; ProfileViewerTextWidget; ProfileViewerUtils; ProfileViewerNavButton; ProfileUtils; ApiUtils; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; CustomArmorDyeColors; BackpackPreview; ItemRarityBackgrounds; ItemProtection; FarmingHud; FarmingHudWidget; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRule; ChatRuleAnnouncementScreen; CalculatorCommand; Calculator; DiscordRPCManager; LividColor; DungeonsConfig; DungeonManager; Room; SecretWaypoint; DungeonEvents; DungeonMapUtils; Debug; DebugRoom; DungeonMap; DungeonScore; PlayerListMgr; FishingHelper; DungeonScoreHUD; Waterboard; PartyFinderScreen; PartyEntryListWidget; PartyEntry; FinderSettingsContainer; OptionDropdownWidget; RangedValueWidget; ChestValue; UIAndVisualsConfig; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; EndHudWidget; SearchOverManager; TitleContainer; ScreenMaster; ScreenBuilder; Widget; PlayerLocator; DungeonTextures; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; DungeonPlayerWidget; Kuudra; DojoManager; ForceTestHelper; StaminaTestHelper; MasteryTestHelper; SwiftnessTestHelper; ControlTestHelper; TenacityTestHelper; FancyStatusBars; BarPositioner; StatusBar; OnClick; StatusBarRenderer; StatusBarConfig; StatusBarsConfigScreen; EditBarWidget; EventNotifications; BeaconHighlighter; WarpAutocomplete; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager; SlotTextAdder
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker,SkyblockerMod,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NAMESPACE; SKYBLOCKER_MOD; VERSION; CONFIG_DIR; GSON; GSON_COMPACT; INSTANCE; containerSolverManager; statusBarTracker
forkassn3,de.hysky.skyblocker,SkyblockerMod,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SnapshotDebug; RenderHelper; SkyblockerMod; ContainerSolverManager; ContainerSolver; UltrasequencerSolver; HelperConfig; Waypoint; NewYearCakesHelper; SkyblockerConfigManager; SkyblockerConfig; Utils; Http; ApiAuthentication; MuseumItemCache; ItemUtils; TooltipInfoType; ItemTooltip; GeneralConfig; CraftPriceTooltip; NEURepoManager; ItemRepository; ItemStackBuilder; SkyblockCraftingRecipe; ObtainedDateTooltip; StatusBarTracker; ConfigDataFixer; SkyblockerScreen; Tips; ProfileViewerScreen; ProfileViewerPage; SubPageSelectButton; ProfileViewerTextWidget; ProfileViewerUtils; ProfileViewerNavButton; ProfileUtils; ApiUtils; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; CustomArmorDyeColors; BackpackPreview; ItemRarityBackgrounds; ItemProtection; FarmingHud; FarmingHudWidget; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRule; ChatRuleAnnouncementScreen; CalculatorCommand; Calculator; DiscordRPCManager; LividColor; DungeonsConfig; DungeonManager; Room; SecretWaypoint; DungeonEvents; DungeonMapUtils; Debug; DebugRoom; DungeonMap; DungeonScore; PlayerListMgr; FishingHelper; DungeonScoreHUD; Waterboard; PartyFinderScreen; PartyEntryListWidget; PartyEntry; FinderSettingsContainer; OptionDropdownWidget; RangedValueWidget; ChestValue; UIAndVisualsConfig; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; EndHudWidget; SearchOverManager; TitleContainer; ScreenMaster; ScreenBuilder; Widget; PlayerLocator; DungeonTextures; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; DungeonPlayerWidget; Kuudra; DojoManager; ForceTestHelper; StaminaTestHelper; MasteryTestHelper; SwiftnessTestHelper; ControlTestHelper; TenacityTestHelper; FancyStatusBars; BarPositioner; StatusBar; OnClick; StatusBarRenderer; StatusBarConfig; StatusBarsConfigScreen; EditBarWidget; EventNotifications; BeaconHighlighter; WarpAutocomplete; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager; SlotTextAdder
forkassn3,de.hysky.skyblocker,SkyblockerMod,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: ConfigDataFixer; PosUtilsTest; ProfileUtils; ApiAuthentication; ItemUtils; Http; NEURepoManager; WaypointCategoryTest; SkyblockerScreen; CrystalsHud; CrystalsLocationsManager; ChatRulesHandler; WarpAutocomplete; Tips; PetCache; Silverfish; DungeonPuzzle; IceFill; DungeonManager; DungeonTextures; SkyblockInventoryScreen; MuseumItemCache; CustomArmorAnimatedDyes; SkyblockCraftingTableScreen; OrderedWaypoints; Relics; FairySouls; MythologicalRitual; Waypoints; SkyblockerREIClientPlugin; SkyblockerEMIPlugin; GenericContainerScreenHandlerMixin; InGameHudMixin; HandledScreenMixin; SkyblockerConfigManager; ImageRepoLoader; ConfigUtils; GeneralConfig; GeneralConfig.RarityBackgroundStyle; GeneralConfig.SlotLockStyle; RenderHelper; ContainerSolver; Shortcuts; AuctionBrowserScreen; AuctionViewScreen; SortWidget; SortWidget.Option; AuctionTypeWidget; AuctionTypeWidget.Option; RarityWidget; KuudraWaypoints; EnigmaSouls; MirrorverseWaypoints; FarmingHud; ScreenMaster; FancyStatusBars; StatusBarRenderer; Waterboard; PartyEntry; PartyFinderScreen; TheEnd; SlayerWidget; ProfileViewerScreen; SubPageSelectButton; DungeonHeaderWidget; DungeonMiscStatsWidgets; DungeonClassWidget; DungeonFloorRunsWidget; SkillsPage; SkillWidget; GenericCategory; AccessoriesHelper; BackpackPreview; TooltipInfoType; CalculatorCommand; TimeTowerReminder; EggFinder; EventNotifications; EventToast; Debug. Outgoing dependencies: ContainerSolverManager; StatusBarTracker; Scheduler; MessageScheduler; ConfigDataFixer; SkyblockerConfigManager; SkyblockerScreen; ProfileViewerScreen; Tips; ItemRepository; ItemTooltip; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; BackpackPreview; TabHud; FarmingHud; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRuleAnnouncementScreen; CalculatorCommand; DiscordRPCManager; LividColor; FishingHelper; DungeonMap; DungeonScoreHUD; DungeonManager; Waterboard; DungeonScore; PartyFinderScreen; ChestValue; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; SearchOverManager; TitleContainer; ScreenMaster; DungeonTextures; OcclusionCulling; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; Debug; Kuudra; DojoManager; RenderHelper; FancyStatusBars; EventNotifications; BeaconHighlighter; WarpAutocomplete; MobBoundingBoxes; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager
forkassn3,de.hysky.skyblocker,SkyblockerScreen.IconTextWidget,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: icon
forkassn3,de.hysky.skyblocker,SkyblockerScreen.IconTextWidget,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.skyblock.filters,ComboFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,AbilityFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,AoteFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,TeleportPadFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,HealFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,ImplosionFilterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ChatFilterTest
forkassn3,de.hysky.skyblocker.skyblock.filters,AoteFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.skyblock.filters,AoteFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SimpleChatFilter
forkassn3,de.hysky.skyblocker.skyblock.filters,ImplosionFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.skyblock.filters,ImplosionFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SimpleChatFilter
forkassn3,de.hysky.skyblocker.skyblock.filters,AbilityFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.skyblock.filters,AbilityFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SimpleChatFilter
forkassn3,de.hysky.skyblocker.skyblock.filters,ShowOffFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
