Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetDurability,6,1,0,63,1,,
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,3,1,1,6,0,,
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,3,1,1,20,0,,
forkassn3,de.hysky.skyblocker.utils,ApiUtils,init,3,1,0,23,0,,
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,3,1,1,28,0,de.hysky.skyblocker.utils.ApiUtils,de.hysky.skyblocker.utils.ApiUtils
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,20,5,2,35,0,de.hysky.skyblocker.utils.ApiUtils,de.hysky.skyblocker.utils.ApiUtils
forkassn3,de.hysky.skyblocker.utils,Resettable,reset,0,1,0,9,0,,
forkassn3,de.hysky.skyblocker.utils,Resettable,onPlayReady,3,1,3,11,0,de.hysky.skyblocker.utils.Resettable,de.hysky.skyblocker.utils.Resettable
forkassn3,de.hysky.skyblocker.utils,Boxes,getMinVec,3,1,1,8,0,,
forkassn3,de.hysky.skyblocker.utils,Boxes,getMaxVec,3,1,1,13,0,,
forkassn3,de.hysky.skyblocker.utils,Boxes,getLengthVec,3,1,1,18,0,,
forkassn3,de.hysky.skyblocker.utils,Boxes,moveToZero,3,1,1,23,0,de.hysky.skyblocker.utils.Boxes,de.hysky.skyblocker.utils.Boxes
forkassn3,de.hysky.skyblocker.utils,Boxes,getCornerLength,3,1,1,28,0,de.hysky.skyblocker.utils.Boxes,de.hysky.skyblocker.utils.Boxes
forkassn3,de.hysky.skyblocker.utils,Boxes,getAxisLength,3,1,2,33,0,,
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,3,1,2,38,0,de.hysky.skyblocker.utils.Boxes,de.hysky.skyblocker.utils.Boxes
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,3,1,4,43,0,de.hysky.skyblocker.utils.Boxes,de.hysky.skyblocker.utils.Boxes
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,equals,14,2,1,27,0,de.hysky.skyblocker.utils.InstancedUtils,de.hysky.skyblocker.utils.InstancedUtils
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,hashCode,14,2,1,47,0,de.hysky.skyblocker.utils.InstancedUtils,de.hysky.skyblocker.utils.InstancedUtils
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,toString,15,2,1,67,0,de.hysky.skyblocker.utils.InstancedUtils,de.hysky.skyblocker.utils.InstancedUtils
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,getClassFields,3,1,1,87,0,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,getFieldGetters,9,2,1,91,0,,
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,ReconfiguringPlaceholderScreen,4,1,1,10,0,,
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,tick,8,2,0,15,0,,
forkassn3,de.hysky.skyblocker.utils,FileUtils,recursiveDelete,22,4,1,14,0,de.hysky.skyblocker.utils.FileUtils,de.hysky.skyblocker.utils.FileUtils
forkassn3,de.hysky.skyblocker.utils,FileUtils,normalizePath,3,1,1,38,0,,
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,updateProfileByName,8,1,1,21,0,de.hysky.skyblocker.utils.ProfileUtils,de.hysky.skyblocker.utils.ProfileUtils
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,fetchFullProfile,22,3,1,35,0,,
forkassn3,de.hysky.skyblocker.utils,JoinWorldPlaceholderScreen,JoinWorldPlaceholderScreen,3,1,0,7,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isOnHypixel,3,1,0,89,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isOnSkyblock,3,1,0,93,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInDungeons,3,1,0,97,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInCrystalHollows,3,1,0,101,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInDwarvenMines,3,1,0,105,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInTheRift,3,1,0,109,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInTheEnd,3,1,0,113,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInKuudra,3,1,0,120,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInCrimson,3,1,0,123,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInModernForagingIsland,3,1,0,127,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,isInjected,3,1,0,131,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getProfile,3,1,0,135,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getProfileId,3,1,0,143,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getLocation,3,1,0,148,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getServer,3,1,0,156,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getGameType,3,1,0,164,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getLocationRaw,3,1,0,172,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getMap,3,1,0,180,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getMayor,3,1,0,188,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,init,13,2,0,196,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,update,7,1,0,209,0,de.hysky.skyblocker.utils.Utils,de.hysky.skyblocker.utils.Utils
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,35,10,1,220,0,de.hysky.skyblocker.utils.Utils,de.hysky.skyblocker.utils.Utils
forkassn3,de.hysky.skyblocker.utils,Utils,isConnectedToHypixel,5,1,1,259,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,onLeaveSkyblock,6,2,0,266,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getIslandArea,13,3,0,273,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getPurse,15,4,0,286,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getBits,16,4,0,303,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,updateScoreboard,36,7,1,319,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getDurationText,14,3,1,367,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,updateFromPlayerList,14,5,1,383,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,onClientWorldJoin,4,1,3,398,0,de.hysky.skyblocker.utils.Utils,de.hysky.skyblocker.utils.Utils
forkassn3,de.hysky.skyblocker.utils,Utils,updateLocRaw,14,3,0,403,0,de.hysky.skyblocker.utils.Utils,de.hysky.skyblocker.utils.Utils
forkassn3,de.hysky.skyblocker.utils,Utils,parseLocRaw,23,6,1,420,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,onChatMessage,23,6,2,451,0,de.hysky.skyblocker.utils.Utils,de.hysky.skyblocker.utils.Utils
forkassn3,de.hysky.skyblocker.utils,Utils,resetLocRawInfo,9,1,0,484,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,scheduleMayorTick,5,1,0,494,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,tickMayorCache,35,5,0,501,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,sendMessageToBypassEvents,6,1,1,532,0,,
forkassn3,de.hysky.skyblocker.utils,Utils,getUndashedUuid,3,1,0,545,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,init,3,1,0,46,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,updateToken,31,2,0,51,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,getRandomSignedData,15,1,1,99,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,logErrorAndScheduleRetry,5,2,4,127,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,getToken,3,1,0,134,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,TokenRequest,3,1,5,139,0,,
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,TokenInfo,3,1,3,165,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,dumpHeldItemCommand,7,1,0,58,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getCustomData,3,1,1,65,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemIdOptional,4,1,1,75,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemId,3,1,1,86,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemUuidOptional,4,1,1,96,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemUuid,3,1,1,107,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemPrice,3,1,1,117,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getItemPrice,14,4,1,127,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getTimestamp,3,1,1,152,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,hasCustomDurability,4,1,1,174,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getDurability,14,4,1,179,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getLoreLineIf,9,3,2,201,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getLoreLineIfMatch,10,3,2,213,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getLore,3,1,1,226,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,propertyMapWithTexture,3,1,1,230,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getHeadTexture,6,3,1,234,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getHeadTextureOptional,5,2,1,246,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,ItemUtils,getSkyblockerStack,10,1,0,252,0,de.hysky.skyblocker.utils.ItemUtils,de.hysky.skyblocker.utils.ItemUtils
forkassn3,de.hysky.skyblocker.utils,Tickable,tick,0,1,1,6,0,,
forkassn3,de.hysky.skyblocker.utils,Http,sendCacheableGetRequest,10,2,2,36,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,downloadContent,5,1,1,58,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,sendGetRequest,3,1,1,73,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,sendHeadRequest,5,1,1,77,0,,
forkassn3,de.hysky.skyblocker.utils,Http,sendPostRequest,7,1,3,89,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,sendName2UuidRequest,3,1,1,108,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,sendHypixelRequest,3,1,2,112,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,getDecodedInputStream,9,1,1,123,0,de.hysky.skyblocker.utils.Http,de.hysky.skyblocker.utils.Http
forkassn3,de.hysky.skyblocker.utils,Http,getContentEncoding,3,1,1,138,0,,
forkassn3,de.hysky.skyblocker.utils,Http,getEtag,3,1,1,142,0,,
forkassn3,de.hysky.skyblocker.utils,Http,getLastModified,3,1,1,146,0,,
forkassn3,de.hysky.skyblocker.utils,Http,getCacheStatuses,3,1,1,150,0,,
forkassn3,de.hysky.skyblocker.utils,Http,getAge,3,1,1,159,0,,
forkassn3,de.hysky.skyblocker.utils,Http,ApiResponse,2,1,4,164,0,,
forkassn3,de.hysky.skyblocker.utils,Http,ok,3,1,0,166,0,,
forkassn3,de.hysky.skyblocker.utils,Http,ratelimited,3,1,0,170,0,,
forkassn3,de.hysky.skyblocker.utils,Http,cached,3,1,0,174,0,,
forkassn3,de.hysky.skyblocker.utils,Http,close,2,1,0,178,0,,
forkassn3,de.hysky.skyblocker.utils,SlayerUtils,getEntityArmorStands,3,1,1,16,0,,
forkassn3,de.hysky.skyblocker.utils,SlayerUtils,getSlayerEntity,15,6,0,21,0,de.hysky.skyblocker.utils.SlayerUtils,de.hysky.skyblocker.utils.SlayerUtils
forkassn3,de.hysky.skyblocker.utils,SlayerUtils,isInSlayer,12,3,0,41,0,,
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getLongFromMatcher,3,1,1,9,0,de.hysky.skyblocker.utils.RegexUtils,de.hysky.skyblocker.utils.RegexUtils
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getLongFromMatcher,4,2,2,16,0,,
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getIntFromMatcher,3,1,1,24,0,de.hysky.skyblocker.utils.RegexUtils,de.hysky.skyblocker.utils.RegexUtils
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getIntFromMatcher,4,2,2,31,0,,
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getDoubleFromMatcher,3,1,1,39,0,de.hysky.skyblocker.utils.RegexUtils,de.hysky.skyblocker.utils.RegexUtils
forkassn3,de.hysky.skyblocker.utils,RegexUtils,getDoubleFromMatcher,4,2,2,47,0,,
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,init,7,1,0,38,0,,
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,isLoading,3,1,0,54,0,,
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,loadRepository,30,2,0,58,0,,
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,deleteAndDownloadRepository,20,2,1,84,0,de.hysky.skyblocker.utils.NEURepoManager,de.hysky.skyblocker.utils.NEURepoManager
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,runAsyncAfterLoad,3,1,1,104,0,,
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,sendMessage,5,2,2,113,0,,
forkassn3,de.hysky.skyblocker.utils,Calculator,lex,0,8,1,28,0,,
forkassn3,de.hysky.skyblocker.utils,Calculator,shunt,51,14,1,82,0,de.hysky.skyblocker.utils.Calculator,de.hysky.skyblocker.utils.Calculator
forkassn3,de.hysky.skyblocker.utils,Calculator,getPrecedence,0,3,1,140,0,,
forkassn3,de.hysky.skyblocker.utils,Calculator,evaluate,35,11,1,152,0,,
forkassn3,de.hysky.skyblocker.utils,Calculator,calculateValue,15,4,1,185,0,,
forkassn3,de.hysky.skyblocker.utils,Calculator,calculate,4,1,1,203,0,de.hysky.skyblocker.utils.Calculator,de.hysky.skyblocker.utils.Calculator
forkassn3,de.hysky.skyblocker.utils,PosUtils,parsePosString,4,1,1,16,0,,
forkassn3,de.hysky.skyblocker.utils,PosUtils,parsePosJson,3,1,1,21,0,,
forkassn3,de.hysky.skyblocker.utils,PosUtils,getPosString,3,1,1,25,0,,
forkassn3,de.hysky.skyblocker.utils,RomanNumerals,RomanNumerals,2,1,0,4,0,,
forkassn3,de.hysky.skyblocker.utils,RomanNumerals,getDecimalValue,3,1,1,6,0,,
forkassn3,de.hysky.skyblocker.utils,RomanNumerals,isValidRomanNumeral,7,4,1,19,0,de.hysky.skyblocker.utils.RomanNumerals,de.hysky.skyblocker.utils.RomanNumerals
forkassn3,de.hysky.skyblocker.utils,RomanNumerals,romanToDecimal,14,4,1,34,0,de.hysky.skyblocker.utils.RomanNumerals,de.hysky.skyblocker.utils.RomanNumerals
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,SkyblockTime,2,1,0,18,0,,
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,init,4,1,0,21,0,de.hysky.skyblocker.utils.SkyblockTime,de.hysky.skyblocker.utils.SkyblockTime
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,getSkyblockMillis,3,1,0,27,0,,
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,getSkyblockYear,3,1,0,31,0,de.hysky.skyblocker.utils.SkyblockTime,de.hysky.skyblocker.utils.SkyblockTime
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,getSkyblockMonth,3,1,0,35,0,de.hysky.skyblocker.utils.SkyblockTime,de.hysky.skyblocker.utils.SkyblockTime
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,getSkyblockDay,3,1,0,39,0,de.hysky.skyblocker.utils.SkyblockTime,de.hysky.skyblocker.utils.SkyblockTime
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,updateTime,7,1,0,43,0,de.hysky.skyblocker.utils.SkyblockTime,de.hysky.skyblocker.utils.SkyblockTime
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListenerTest,ChatPatternListenerTest,3,1,1,11,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListenerTest,matcher,3,1,1,15,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListenerTest,assertMatches,3,1,1,19,0,de.hysky.skyblocker.utils.chat.ChatPatternListenerTest,de.hysky.skyblocker.utils.chat.ChatPatternListenerTest
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListenerTest,assertGroup,3,1,3,23,0,de.hysky.skyblocker.utils.chat.ChatPatternListenerTest,de.hysky.skyblocker.utils.chat.ChatPatternListenerTest
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListenerTest,assertGroup,4,1,3,27,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,ChatPatternListener,3,1,1,12,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,onMessage,9,3,2,16,0,de.hysky.skyblocker.utils.chat.ChatPatternListener,de.hysky.skyblocker.utils.chat.ChatPatternListener
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,state,0,1,0,27,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,onMatch,0,1,2,29,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatMessageListener,init,31,7,0,33,0,,
forkassn3,de.hysky.skyblocker.utils.chat,ChatMessageListener,onMessage,0,1,2,90,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,setup,4,1,0,33,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testNbtConversion,3,1,0,39,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testDataFixer,5,1,0,44,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testComponentsAsString,4,1,0,52,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testFromComponentsString,5,1,0,59,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testFromComponentsStringWithInvalidItem,5,1,0,67,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,testNbtToComponentsString,5,1,0,75,1,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,convertToNbt,8,1,1,83,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixer,fixUpItem,4,1,1,36,0,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixer,componentsAsString,13,2,1,42,0,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixer,fromComponentsString,12,1,3,64,0,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer,de.hysky.skyblocker.utils.datafixer.ItemStackComponentizationFixer
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixer,getRegistryLookup,4,1,0,85,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,JsonHelper,getInt,20,5,2,21,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,JsonHelper,getBoolean,20,5,2,50,0,,
forkassn3,de.hysky.skyblocker.utils.datafixer,JsonHelper,getString,20,5,2,79,0,,
forkassn3,de.hysky.skyblocker.utils.scheduler,SchedulerTest,testSchedule,80,2,0,18,1,,
