Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.skyblock.dwarven,CrystalsLocationManagerTest,testLocationInCrystals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
forkassn3,de.hysky.skyblocker.skyblock.dwarven,CrystalsLocationManagerTest,testSetLocationMessage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock.dwarven,CrystalsHudTest,testLocationTransformation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
forkassn3,de.hysky.skyblocker.skyblock.chat,ChatRuleTest,isMatch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
forkassn3,de.hysky.skyblocker.skyblock,StatusBarTrackerTest,instantTransmission,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock,StatusBarTrackerTest,rapidFire,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock,StatusBarTrackerTest,zombieSword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock,ChestValueTest,testProfitText,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypointTest,testListCodecDeserialize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,RoomTest,onChatMessage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.skyblock.dungeon,AcceptRepartyTest,testDisband,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
forkassn3,de.hysky.skyblocker.skyblock.dungeon,AcceptRepartyTest,testInvite,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
forkassn3,de.hysky.skyblocker.skyblock.searchoverlay,SplitStringTest,testSplitString1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock.searchoverlay,SplitStringTest,testSplitString2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock.searchoverlay,SplitStringTest,testSplitString3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
