Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,Magic Number,The method contains a magic number: 2,63
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,Magic Number,The method contains a magic number: 3,63
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,makeRule,Long Statement,The length of the statement "return fixTypeEverywhereTyped("ConfigFix1"`getInputSchema().getType(ConfigDataFixer.CONFIG_TYPE)`typed -> typed.update(DSL.remainderFinder()`this::fix));" is 153.,20
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fix,Long Statement,The length of the statement "return fixMisc(fixQuickNav(fixChat(fixSlayers(fixOtherLocations(fixFarming(fixMining(fixCrimsonIsle(fixDungeons(fixHelpers(fixUIAndVisuals(fixGeneral(fixVersion(dynamic)))))))))))));" is 182.,29
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixGeneral,Long Statement,The length of the statement "return dynamic.update("general"`general -> general.update("itemTooltip"`itemTooltip -> itemTooltip.setFieldIfPresent("dungeonQuality"`general.get("dungeonQuality").result())).remove("dungeonQuality"));" is 201.,33
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixUIAndVisuals,Long Statement,The length of the statement "return dynamic.set("uiAndVisuals"`dynamic.emptyMap().setFieldIfPresent("compactorDeletorPreview"`general.get("compactorDeletorPreview").result()).setFieldIfPresent("dontStripSkinAlphaValues"`general.get("dontStripSkinAlphaValues").result()).setFieldIfPresent("backpackPreviewWithoutShift"`general.get("backpackPreviewWithoutShift").result()).setFieldIfPresent("hideEmptyTooltips"`general.get("hideEmptyTooltips").result()).setFieldIfPresent("fancyCraftingTable"`general.get("fancyCraftingTable").result()).setFieldIfPresent("hideStatusEffectOverlay"`general.get("hideStatusEffectOverlay").result()).setFieldIfPresent("chestValue"`general.get("chestValue").result()).setFieldIfPresent("itemCooldown"`general.get("itemCooldown").result()).setFieldIfPresent("titleContainer"`general.get("titleContainer").result()).setFieldIfPresent("tabHud"`general.get("tabHud").result()).setFieldIfPresent("fancyAuctionHouse"`general.get("fancyAuctionHouse").result()).setFieldIfPresent("bars"`general.get("bars").result()).setFieldIfPresent("waypoints"`general.get("waypoints").result()).setFieldIfPresent("teleportOverlay"`general.get("teleportOverlay").result()).setFieldIfPresent("searchOverlay"`general.get("searchOverlay").result()).setFieldIfPresent("flameOverlay"`general.get("flameOverlay").result())).update("general"`newGeneral -> newGeneral.remove("compactorDeletorPreview").remove("dontStripSkinAlphaValues").remove("backpackPreviewWithoutShift").remove("hideEmptyTooltips").remove("fancyCraftingTable").remove("hideStatusEffectOverlay").remove("chestValue").remove("itemCooldown").remove("titleContainer").remove("tabHud").remove("fancyAuctionHouse").remove("bars").remove("waypoints").remove("teleportOverlay").remove("searchOverlay").remove("flameOverlay"));" is 1757.,37
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixHelpers,Long Statement,The length of the statement "return dynamic.set("helpers"`dynamic.emptyMap().setFieldIfPresent("enableNewYearCakesHelper"`general.get("enableNewYearCakesHelper").result()).setFieldIfPresent("mythologicalRitual"`general.get("mythologicalRitual").result()).setFieldIfPresent("experiments"`general.get("experiments").result()).setFieldIfPresent("fishing"`general.get("fishing").result()).setFieldIfPresent("fairySouls"`general.get("fairySouls").result())).update("general"`newGeneral -> newGeneral.remove("enableNewYearCakesHelper").remove("mythologicalRitual").remove("experiments").remove("fishing").remove("fairySouls"));" is 592.,76
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixDungeons,Long Statement,The length of the statement "return dynamic.set("dungeons"`dynamic.emptyMap().setFieldIfPresent("fancyPartyFinder"`general.get("betterPartyFinder").result()).setFieldIfPresent("croesusHelper"`dungeons.get("croesusHelper").result()).setFieldIfPresent("playerSecretsTracker"`dungeons.get("playerSecretsTracker").result()).setFieldIfPresent("starredMobGlow"`dungeons.get("starredMobGlow").result()).setFieldIfPresent("starredMobBoundingBoxes"`dungeons.get("starredMobBoundingBoxes").result()).setFieldIfPresent("allowDroppingProtectedItems"`dungeons.get("allowDroppingProtectedItems").result()).set("dungeonMap"`dynamic.emptyMap().setFieldIfPresent("enableMap"`dungeons.get("enableMap").result()).setFieldIfPresent("mapScaling"`dungeons.get("mapScaling").result()).setFieldIfPresent("mapX"`dungeons.get("mapX").result()).setFieldIfPresent("mapY"`dungeons.get("mapY").result())).set("puzzleSolvers"`dynamic.emptyMap().setFieldIfPresent("solveThreeWeirdos"`dungeons.get("solveThreeWeirdos").result()).setFieldIfPresent("blazeSolver"`dungeons.get("blazeSolver").result()).setFieldIfPresent("creeperSolver"`dungeons.get("creeperSolver").result()).setFieldIfPresent("solveTrivia"`dungeons.get("solveTrivia").result()).setFieldIfPresent("solveTicTacToe"`dungeons.get("solveTicTacToe").result()).setFieldIfPresent("solveWaterboard"`dungeons.get("solveWaterboard").result()).setFieldIfPresent("solveBoulder"`dungeons.get("solveBoulder").result()).setFieldIfPresent("solveIceFill"`dungeons.get("solveIceFill").result()).setFieldIfPresent("solveSilverfish"`dungeons.get("solveSilverfish").result())).set("theProfessor"`dynamic.emptyMap().setFieldIfPresent("fireFreezeStaffTimer"`dungeons.get("fireFreezeStaffTimer").result()).setFieldIfPresent("floor3GuardianHealthDisplay"`dungeons.get("floor3GuardianHealthDisplay").result())).setFieldIfPresent("livid"`dungeons.get("lividColor").result()).setFieldIfPresent("terminals"`dungeons.get("terminals").result()).setFieldIfPresent("secretWaypoints"`dungeons.get("secretWaypoints").result()).setFieldIfPresent("mimicMessage"`dungeons.get("mimicMessage").result()).setFieldIfPresent("doorHighlight"`dungeons.get("doorHighlight").result()).setFieldIfPresent("dungeonScore"`dungeons.get("dungeonScore").result()).setFieldIfPresent("dungeonChestProfit"`dungeons.get("dungeonChestProfit").result())).update("locations"`locations -> locations.remove("dungeons")).update("general"`newGeneral -> newGeneral.remove("betterPartyFinder"));" is 2430.,93
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixCrimsonIsle,Long Statement,The length of the statement "return dynamic.setFieldIfPresent("crimsonIsle"`dynamic.get("locations").get("crimsonIsle").result()).update("locations"`locations -> locations.remove("crimsonIsle"));" is 166.,134
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMining,Long Statement,The length of the statement "return dynamic.set("mining"`dynamic.emptyMap().setFieldIfPresent("enableDrillFuel"`dwarvenMines.get("enableDrillFuel").result()).set("dwarvenMines"`dynamic.emptyMap().setFieldIfPresent("solveFetchur"`dwarvenMines.get("solveFetchur").result()).setFieldIfPresent("solvePuzzler"`dwarvenMines.get("solvePuzzler").result())).set("dwarvenHud"`dwarvenMines.get("dwarvenHud").result().orElseThrow().renameField("x"`"commissionsX").renameField("y"`"commissionsY")).setFieldIfPresent("crystalsHud"`dwarvenMines.get("crystalsHud").result()).setFieldIfPresent("crystalsWaypoints"`dwarvenMines.get("crystalsWaypoints").result()).set("crystalHollows"`dynamic.emptyMap().setFieldIfPresent("metalDetectorHelper"`dwarvenMines.get("metalDetectorHelper").result()))).update("locations"`locations -> locations.remove("dwarvenMines"));" is 814.,138
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixFarming,Long Statement,The length of the statement "return dynamic.set("farming"`dynamic.emptyMap().setFieldIfPresent("garden"`dynamic.get("locations").get("garden").result())).update("locations"`locations -> locations.remove("garden"));" is 185.,158
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNav,Long Statement,The length of the statement "return dynamic.update("quickNav"`quickNav -> quickNav.updateMapValues(button -> button.getFirst().asString().getOrThrow().startsWith("button") ? button.mapSecond(ConfigFix1::fixQuickNavButton) : button));" is 204.,176
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNavButton,Long Statement,The length of the statement "return button.update("item"`item -> item.renameField("itemName"`"id").renameAndFixField("nbt"`"components"`nbt -> fixNbt(item.get("itemName")`nbt)));" is 149.,182
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,Long Statement,The length of the statement "ConfigDataFixer.LOGGER.error(LogUtils.FATAL_MARKER`"[Skyblocker Config Data Fixer] Failed to convert nbt to components!"`e);" is 124.,189
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,Magic Number,The method contains a magic number: 2,189
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMisc,Long Statement,The length of the statement "return dynamic.set("misc"`dynamic.emptyMap().setFieldIfPresent("richPresence"`dynamic.get("richPresence").result())).remove("richPresence");" is 140.,206
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Long Statement,The length of the statement "String[] expected=new String[]{"I"`"II"`"III"`"IV"`"V"`"VI"`"VII"`"VIII"`"IX"`"X"`"XI"`"XII"`"XIII"`"XIV"`"XV"`"XVI"`"XVII"`"XVIII"`"XIX"`"XX"`"XXI"`"XXII"`"XXIII"`"XXIV"`"XXV"`"XXVI"`"XXVII"`"XXVIII"`"XXIX"`"XXX"`"XXXI"`"XXXII"`"XXXIII"`"XXXIV"`"XXXV"`"XXXVI"`"XXXVII"`"XXXVIII"`"XXXIX"`"XL"`"XLI"`"XLII"`"XLIII"`"XLIV"`"XLV"`"XLVI"`"XLVII"`"XLVIII"`"XLIX"`"L"};" is 363.,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 50,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 100,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 400,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 500,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 900,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 1000,7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number,The method contains a magic number: 1999,7
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,Long Statement,The length of the statement "Assertions.assertEquals("empty[siblings=[literal{[}[style={color=gray}]` literal{S}[style={color=#00FF4C}]` literal{k}[style={color=#02FA60}]` literal{y}[style={color=#04F574}]` literal{b}[style={color=#07EF88}]` literal{l}[style={color=#09EA9C}]` literal{o}[style={color=#0BE5AF}]` literal{c}[style={color=#0DE0C3}]` literal{k}[style={color=#10DAD7}]` literal{e}[style={color=#12D5EB}]` literal{r}[style={color=#14D0FF}]` literal{] }[style={color=gray}]]]"`Constants.PREFIX.get().toString());" is 493.,9
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,Magic Number,The method contains a magic number: 4,9
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number,The method contains a magic number: 1000,7
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number,The method contains a magic number: 120,7
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number,The method contains a magic number: 1120,7
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number,The method contains a magic number: 1001001065,7
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number,The method contains a magic number: 9,15
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number,The method contains a magic number: 4,15
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number,The method contains a magic number: 15,15
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitMultiplication,Magic Number,The method contains a magic number: 20,22
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitClosingParenthesis,Magic Number,The method contains a magic number: 20,27
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number,The method contains a magic number: 8,8
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number,The method contains a magic number: 8,8
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number,The method contains a magic number: 8,8
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number,The method contains a magic number: 8,15
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number,The method contains a magic number: 8,23
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number,The method contains a magic number: 8,31
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number,The method contains a magic number: 8,39
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number,The method contains a magic number: 8,47
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number,The method contains a magic number: 8,47
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number,The method contains a magic number: 8,47
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosJson,Long Statement,The length of the statement "Assertions.assertEquals(PosUtils.parsePosJson(SkyblockerMod.GSON.fromJson("{\"x\":-1`\"y\":0`\"z\":1}"`JsonObject.class))`new BlockPos(-1`0`1));" is 144.,15
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,Long Statement,The length of the statement "Assertions.assertEquals("{art_of_war_count:1b`champion_combat_xp:4.8087379696333125E7d`enchantments:{PROSECUTE:6b`champion:10b`cleave:6b`critical:7b`cubism:6b`divine_gift:3b`dragon_hunter:5b`ender_slayer:7b`experience:5b`fire_aspect:3b`first_strike:5b`impaling:3b`lethality:6b`looting:5b`luck:7b`scavenger:5b`sharpness:7b`smoldering:5b`syphon:5b`tabasco:3b`thunderlord:7b`titan_killer:7b`ultimate_chimera:5b`vampirism:6b`venomous:6b`vicious:5b}`gems:{JASPER_0:{quality:\"PERFECT\"`uuid:\"e9881031-1b36-4c41-8d13-739685b700aa\"}`JASPER_1:{quality:\"PERFECT\"`uuid:\"afb95bac-0269-4978-a3ed-f5a3e4e57338\"}`unlocked_slots:[\"JASPER_0\"`\"JASPER_1\"]}`hot_potato_count:15b`id:\"DARK_CLAYMORE\"`modifier:\"withered\"`rarity_upgrades:1b`timestamp:1671157200000L`upgrade_level:10b`uuid:\"098f4ac1-bf99-4829-a183-70e3a6bc8b2a\"}"`ItemUtils.getCustomData(DARK_CLAYMORE).toString());" is 874.,34
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,Long Statement,The length of the statement "Assertions.assertEquals("{compact_blocks:4481s`drill_fuel:5395s`drill_part_fuel_tank:\"mithril_fuel_tank\"`drill_part_upgrade_module:\"goblin_omelette_sunny_side\"`enchantments:{compact:4b`efficiency:5b`experience:4b`fortune:4b`pristine:5b`smelting_touch:1b}`gems:{AMBER_0:\"PERFECT\"`JADE_0:\"PERFECT\"`MINING_0:\"PERFECT\"`MINING_0_gem:\"TOPAZ\"`unlocked_slots:[\"JADE_0\"`\"MINING_0\"]}`id:\"TITANIUM_DRILL_4\"`modifier:\"auspicious\"`polarvoid:5b`rarity_upgrades:1b`timestamp:1712894721557L`uuid:\"24404cec-7249-4612-b43e-0bc897384dd2\"}"`ItemUtils.getCustomData(TITANIUM_DRILL_DR_X655).toString());" is 603.,34
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,Long Statement,The length of the statement "Assertions.assertEquals("{ability_scroll:[\"WITHER_SHIELD_SCROLL\"`\"SHADOW_WARP_SCROLL\"`\"IMPLOSION_SCROLL\"]`art_of_war_count:1b`champion_combat_xp:1.381000444237401E8d`dungeon_item_level:5b`enchantments:{champion:10b`cleave:6b`critical:6b`cubism:5b`dragon_hunter:5b`ender_slayer:6b`execute:5b`experience:5b`fire_aspect:3b`first_strike:4b`giant_killer:6b`impaling:3b`lethality:6b`life_steal:5b`looting:4b`luck:7b`scavenger:5b`smite:7b`tabasco:3b`telekinesis:1b`thunderlord:7b`ultimate_wise:5b`vampirism:6b`venomous:5b}`gems:{COMBAT_0:{quality:\"PERFECT\"`uuid:\"77d8ef8f-2142-4a01-a6ec-1fa6352d62e4\"}`COMBAT_0_gem:\"SAPPHIRE\"`DEFENSIVE_0:{quality:\"PERFECT\"`uuid:\"1ed969b4-372e-4692-a994-4026ec480668\"}`DEFENSIVE_0_gem:\"AMETHYST\"}`hot_potato_count:15b`id:\"ASTRAEA\"`modifier:\"heroic\"`originTag:\"ASTRAEA_UPGRADE\"`rarity_upgrades:1b`timestamp:1614631200000L`upgrade_level:10b`uuid:\"38d58369-401c-4cda-945d-759cb652c718\"}"`ItemUtils.getCustomData(ASTRAEA).toString());" is 982.,34
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetDurability,Magic Number,The method contains a magic number: 5395,63
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetDurability,Magic Number,The method contains a magic number: 10_000,63
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 16,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 0xFF,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 255f,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 8,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 0xFF,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 255f,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 0xFF,6
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,Magic Number,The method contains a magic number: 255f,6
forkassn3,de.hysky.skyblocker.utils,ApiUtils,init,Magic Number,The method contains a magic number: 24_000,23
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,Magic Number,The method contains a magic number: 3,35
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,Magic Number,The method contains a magic number: 800,35
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,Long Statement,The length of the statement "return box.expand(getAxisLength(box`Axis.X) * (x - 1) / 2d`getAxisLength(box`Axis.Y) * (y - 1) / 2d`getAxisLength(box`Axis.Z) * (z - 1) / 2d);" is 142.,43
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,Magic Number,The method contains a magic number: 2d,43
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,Magic Number,The method contains a magic number: 2d,43
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,Magic Number,The method contains a magic number: 2d,43
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,equals,Long Statement,The length of the statement "MethodHandle equalsHandle=(MethodHandle)ObjectMethods.bootstrap(MethodHandles.lookup()`"equals"`MethodHandle.class`type`""`getters);" is 132.,27
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,hashCode,Long Statement,The length of the statement "MethodHandle hashCodeHandle=(MethodHandle)ObjectMethods.bootstrap(MethodHandles.lookup()`"hashCode"`MethodHandle.class`type`""`getters);" is 136.,47
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,toString,Long Statement,The length of the statement "MethodHandle toStringHandle=(MethodHandle)ObjectMethods.bootstrap(MethodHandles.lookup()`"toString"`MethodHandle.class`type`fieldNames`getters);" is 144.,67
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,getClassFields,Long Statement,The length of the statement "return Stream.concat(Arrays.stream(type.getDeclaredFields())`Arrays.stream(type.getFields())).distinct().toArray(Field[]::new);" is 127.,87
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,updateProfileByName,Long Statement,The length of the statement "JsonObject player=profile.getAsJsonArray("profiles").asList().stream().map(JsonElement::getAsJsonObject).filter(profileObj -> profileObj.getAsJsonPrimitive("selected").getAsBoolean()).findFirst().orElseThrow(() -> new IllegalStateException("No selected profile found!?")).getAsJsonObject("members").get(name).getAsJsonObject();" is 327.,21
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,fetchFullProfile,Long Statement,The length of the statement "LOGGER.error("[Skyblocker Profile Utils] Failed to get Player Profile Data for players {}` is the API Down/Limited?"`name`e);" is 125.,35
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,Complex Conditional,The conditional expression client.world == null || client.isInSingleplayer() || sidebar.isEmpty() is complex.,220
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,Complex Conditional,The conditional expression fabricLoader.isDevelopmentEnvironment() || sidebar.getFirst().contains("SKYBLOCK") || sidebar.getFirst().contains("SKIBLOCK") is complex.,220
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,Complex Method,Cyclomatic complexity of the method is 10,220
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,Long Statement,The length of the statement "if (fabricLoader.isDevelopmentEnvironment() || sidebar.getFirst().contains("SKYBLOCK") || sidebar.getFirst().contains("SKIBLOCK")) {" is 132.,220
forkassn3,de.hysky.skyblocker.utils,Utils,isConnectedToHypixel,Long Statement,The length of the statement "String serverAddress=(client.getCurrentServerEntry() != null) ? client.getCurrentServerEntry().address.toLowerCase() : "";" is 122.,259
forkassn3,de.hysky.skyblocker.utils,Utils,isConnectedToHypixel,Long Statement,The length of the statement "String serverBrand=(client.player != null && client.player.networkHandler != null && client.player.networkHandler.getBrand() != null) ? client.player.networkHandler.getBrand() : "";" is 181.,259
